BCB012,1,25.6,99.5,2000,2021,1,12,48,39,54,26.1688,99.8688,8.9,8.61,Pg,14.42,Sg
BCB015,1,25.5,99.4,2000,2021,1,12,48,39,54,26.1688,99.8688,8.9,4.75,Pg,7.92,Sg
BCB016,1,26.4,99.3,2000,2021,1,12,48,39,54,26.1688,99.8688,8.9,2.99,Pg,5.02,Sg
YNEYA,1,25.8,99.6,2000,2021,1,12,48,39,54,26.1688,99.8688,8.9,2.54,Pg,none,Sg
BCB006,2,25.2,99.2,2000,2021,1,17,57,56,86,25.5659,99.9621,9.2,none,Pg,7.98,Sg
BCB001,2,25.1,99.1,2000,2021,1,17,57,56,86,25.5659,99.9621,9.2,5.68,Pg,9.36,Sg
BCB012,2,25.6,99.5,2000,2021,1,17,57,56,86,25.5659,99.9621,9.2,4.50,Pg,7.60,Sg
BCB015,2,25.5,99.4,2000,2021,1,17,57,56,86,25.5659,99.9621,9.2,9.16,Pg,15.53,Sg
BCB002,2,25.3,100.1,2000,2021,1,17,57,56,86,25.5659,99.9621,9.2,2.72,Pg,4.55,Sg
BCB003,2,25.7,100.2,2000,2021,1,17,57,56,86,25.5659,99.9621,9.2,4.24,Pg,none,Sg
